,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age-height-weight,num_for_test
672,391,Clarence John Abel,M,United States,USA,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,23.0?185.0?102.0,1588.31
673,392,George Gordon Abel,M,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,35.0?nan?nan,1102.57
677,394,Irene Abel,F,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver,19.0:160.0?48.0,374.55
684,395,Jennifer Abel,F,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze,20.0(160.0?62.0,355.92
700,399,Egil Sten Abel,M,Fornebo,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver,20.0*nan?nan,631.14
702,401,Abelardo Fernndez Antua,M,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold,22.0?nan?nan,251.77
710,404,"Louis Grenville ""Lou"" Abell",M,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold,15.0*nan?nan,1706.12
711,404,"Louis Grenville ""Lou"" Abell",M,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold,19.0:nan?nan,1192.94
720,411,Gezahgne Abera,M,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold,22.0(166.0?58.0,1571.66
727,416,Nils Georg berg,M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze,19.0?181.0?78.0,1717.81
728,416,Nils Georg berg,M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,Silver,19.0?181.0?78.0,1596.0
739,423,Michael Brent Abernathy,M,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold,22.0(182.0?84.0,351.02
740,424,Moira Abernethy (-Ford),F,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,17.0:nan?nan,1611.64
747,428,Elvan Abeylegesse,F,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver,25.0:159.0?40.0,958.86
771,443,Ismail Abilov (-Nizamolu),M,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,29.0?172.0?82.0,1040.23
787,454,"Edgar Allen ""Ed"" Ablowich",M,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,19.0*182.0?68.0,57.81
789,455,Denis Mikhaylovich Ablyazin,M,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,19.0?161.0?62.0,693.98
790,455,Denis Mikhaylovich Ablyazin,M,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver,19.0(161.0?62.0,307.0
794,455,Denis Mikhaylovich Ablyazin,M,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver,24.0:161.0?62.0,1302.42
796,455,Denis Mikhaylovich Ablyazin,M,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver,24.0:161.0?62.0,244.28
797,455,Denis Mikhaylovich Ablyazin,M,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze,24.0*161.0?62.0,509.72
803,460,Viktor Andreyevich Aboimov,M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,22.0?190.0?78.0,1893.94
804,460,Viktor Andreyevich Aboimov,M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,22.0?190.0?78.0,1854.81
814,465,"Matthew ""Matt"" Abood",M,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,30.0?197.0?92.0,328.44
861,495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,Egypt,EGY,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver,21.0?188.0?87.0,1365.22
884,507,Attila brahm,M,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,21.0:192.0?88.0,524.97
885,507,Attila brahm,M,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,21.0*192.0?88.0,1148.12
886,507,Attila brahm,M,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,25.0?192.0?88.0,757.84
892,509,Gary Abraham,M,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,21.0*175.0?64.0,1208.3
903,514,Ara Abrahamian,M,Sweden,SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,29.0(191.0?84.0,526.81
915,519,Harold Maurice Abrahams,M,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold,24.0?183.0?75.0,887.25
917,519,Harold Maurice Abrahams,M,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,24.0(183.0?75.0,1173.97
921,521,Isak Abrahamsen,M,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,21.0*nan?nan,616.42
929,527,Erik Adolf Efraim Abrahamsson,M,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze,22.0?172.0?61.0,1164.28
935,529,Karl Gustaf Emanuel Abrahamsson,M,Sweden,SWE,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,31.0?nan?nan,1228.46
966,543,Pavel Sergeyevich Abramov,M,Russia,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze,25.0*198.0?89.0,935.13
971,547,Nelli Mikhaylovna Abramova,F,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver,24.0?171.0?60.0,108.49
974,548,Yekaterina Konstantinovna Abramova,F,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze,23.0?167.0?65.0,688.4
1029,576,"Alejandro ""lex"" Abrines Redondo",M,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze,23.0:198.0?93.0,889.61
1035,580,Svetlana Olegovna Abrosimova,F,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze,28.0(188.0?77.0,1926.34
1043,582,Saypulla Atavovich Absaidov,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,22.0:168.0?68.0,1708.62
1044,583,Julien Absalon,M,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,23.0(180.0?68.0,296.45
1045,583,Julien Absalon,M,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,27.0:180.0?68.0,1812.4
1080,608,Ahmad Abughaush,M,Jordan,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold,20.0:178.0?68.0,1984.84
1089,610,Ginko Abukawa-Chiba,F,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze,26.0:148.0?46.0,1126.89
1105,618,Aleksandr Veniaminovich Abushakhmetov,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze,25.0?189.0?81.0,1255.06
1106,619,Magomedgasan Mingazhutdinovich Abushev,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,20.0?170.0?62.0,726.1
1121,627,Andreea Roxana Acatrinei,F,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze,16.0(150.0?40.0,835.33
1126,629,William Accambray,M,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold,24.0?194.0?104.0,1073.83
1133,634,Paul Accola,M,Switzerland,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze,20.0(176.0?82.0,447.43
1154,639,Domingo Gmez-Acedo Villanueva,M,Spain,ESP,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Silver,21.0(nan?nan,827.8
1162,646,Anibl Santiago Acevedo,M,Puerto Rico,PUR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze,21.0*176.0?67.0,1190.52
1173,654,Daniel Aceves Villagrn,M,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,19.0(158.0?52.0,1649.24
1191,669,Joachim Yaw Acheampong,M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,18.0*181.0?73.0,1092.73
1192,670,Alfred Achermann,M,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,24.0?176.0?75.0,246.03
1196,673,Abdel Hak Achik,M,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze,29.0:165.0?54.0,1609.69
1198,674,Mohamed Abdelhak Achik,M,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze,27.0:174.0?57.0,1803.14
1210,680,Rita Nikolayevna Achkina,F,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze,30.0?168.0?63.0,287.71
1227,690,Chantal Achterberg,F,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze,27.0*172.0?72.0,1811.18
1228,690,Chantal Achterberg,F,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver,31.0*172.0?72.0,1128.71
1237,697,Fausto Alesio Acke (Padovini-),M,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold,22.0(nan?nan,251.69
1238,698,Paul Douglas Ackerley,M,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold,27.0:179.0?68.0,1738.42
1239,699,"Charles Edwin ""Charley"" Ackerly",M,United States,USA,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,22.0(nan?nan,1398.22
1244,702,Ronny Ackermann,M,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver,24.0(184.0?69.0,119.71
1246,702,Ronny Ackermann,M,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver,24.0*184.0?69.0,634.72
1247,702,Ronny Ackermann,M,Germany,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver,28.0?184.0?69.0,119.97
1254,705,Donat Acklin,M,Switzerland-1,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold,26.0?190.0?99.0,1776.71
1255,705,Donat Acklin,M,Switzerland-1,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze,26.0:190.0?99.0,1990.82
1256,705,Donat Acklin,M,Switzerland-1,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold,28.0*190.0?99.0,994.81
1257,705,Donat Acklin,M,Switzerland-1,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver,28.0?190.0?99.0,800.78
1258,706,Guido Acklin,M,Switzerland-2,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver,24.0?200.0?104.0,1586.81
1276,716,Lautaro Germn Acosta,M,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold,20.0*168.0?72.0,1227.98
1288,723,Osmay Acosta Duarte,M,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze,23.0*188.0?91.0,583.35
1293,727,Martn Ral Acosta y Lara Daz,M,Uruguay,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze,27.0:nan?nan,349.56
1325,745,Kazimierz Piotr Adach,M,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze,23.0*162.0?60.0,1549.97
1345,762,"Gordon Belgum ""Gordy"" Adam",M,United States,USA,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold,21.0*nan?nan,1200.14
1352,766,Ji Adam,M,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,25.0(187.0?83.0,142.25
1366,772,"Michael B. ""Mike"" Adam",M,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold,24.0(175.0?95.0,822.54
1373,775,Otto Adam,M,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze,26.0(nan?nan,212.48
